[01:08:35.795849] -=-=-=-=-=-=-=-=-=-= APPLICATION_NAME HAS STARTED =-=-=-=-=-=-=-=-=-=- (Location: 'ZData00/Program.cs', Line: #12)
[01:08:39.310683] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #20)
[01:08:39.342765] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[01:08:39.363662] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:08:39.384891] 'Array' primary constructor (Location: 'Classes/Array.cs', Line: #38)
[01:08:39.405847] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[01:08:39.425129] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:08:39.441081] 'BaseName' primary constructor (Location: 'Bases/BaseName.cs', Line: #19)
[01:08:39.458382] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[01:08:39.473875] 'Range' primary constructor (Location: 'Values/Range.cs', Line: #55)
[01:08:39.490979] 'ToString' override function (Location: 'Values/Range.cs', Line: #231)
[01:08:39.575462] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:08:39.593612] 'BaseException' primary constructor (Location: 'Bases/BaseException.cs', Line: #38)
[01:08:39.611827] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:08:39.630485] 'NameException' constructor (Location: 'Exceptions/NameException.cs', Line: #15)
[01:08:39.705707] 'SetParametersAsync' override function (Location: 'Pages/Index.razor.cs', Line: #46)
[01:08:39.726578] 'OnInitialized' override function (Location: 'Pages/Index.razor.cs', Line: #134)
[01:08:39.747445] 'OnInitializedAsync' override function (Location: 'Pages/Index.razor.cs', Line: #153)
[01:08:39.768075] 'OnParametersSet' override function (Location: 'Pages/Index.razor.cs', Line: #176)
[01:08:39.791451] 'OnParametersSetAsync' override function (Location: 'Pages/Index.razor.cs', Line: #195)
[01:08:54.636334] 'ToString' override function (Location: 'Pages/Index.razor.cs', Line: #69)
[01:08:55.634585] 'ToString' override function (Location: 'Pages/Index.razor.cs', Line: #69)
[01:08:56.145973] 'ToString' override function (Location: 'Pages/Index.razor.cs', Line: #69)
[01:08:56.602617] 'ToString' override function (Location: 'Pages/Index.razor.cs', Line: #69)
[01:08:57.188792] 'ToString' override function (Location: 'Pages/Index.razor.cs', Line: #69)
[01:08:57.969750] 'ToString' override function (Location: 'Pages/Index.razor.cs', Line: #69)
[01:08:58.398639] 'ToString' override function (Location: 'Pages/Index.razor.cs', Line: #69)
[01:09:00.290257] 'OnAfterRender' override function (Location: 'Pages/Index.razor.cs', Line: #92)
[01:09:00.310584] 'OnAfterRenderAsync' override function (Location: 'Pages/Index.razor.cs', Line: #111)
[01:11:38.398806] -=-=-=-=-=-=-=-=-=-= APPLICATION_NAME HAS STARTED =-=-=-=-=-=-=-=-=-=- (Location: 'ZData00/Program.cs', Line: #12)
[01:11:40.960543] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #20)
[01:11:40.989147] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[01:11:41.018251] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:11:41.045390] 'Array' primary constructor (Location: 'Classes/Array.cs', Line: #38)
[01:11:41.068727] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[01:11:41.142824] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:11:41.173128] 'BaseName' primary constructor (Location: 'Bases/BaseName.cs', Line: #19)
[01:11:41.192820] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[01:11:41.210024] 'Range' primary constructor (Location: 'Values/Range.cs', Line: #55)
[01:11:41.233430] 'ToString' override function (Location: 'Values/Range.cs', Line: #231)
[01:11:41.309435] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:11:41.329313] 'BaseException' primary constructor (Location: 'Bases/BaseException.cs', Line: #38)
[01:11:41.368937] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:11:41.390663] 'NameException' constructor (Location: 'Exceptions/NameException.cs', Line: #15)
[01:11:41.480383] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[01:11:41.501447] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:11:41.521905] 'BaseName' primary constructor (Location: 'Bases/BaseName.cs', Line: #19)
[01:11:41.543587] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[01:11:41.565324] 'Range' primary constructor (Location: 'Values/Range.cs', Line: #55)
[01:11:41.608414] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[01:11:41.633083] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:11:41.656610] 'BaseType' primary constructor (Location: 'Bases/BaseType.cs', Line: #25)
[01:11:41.683330] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:11:41.705343] 'BaseType' primary constructor (Location: 'Bases/BaseType.cs', Line: #131)
[01:11:41.728557] 'Generate' function (Location: 'IDs/ObjectID.cs', Line: #23)
[01:11:41.751177] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[01:11:41.775095] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:11:41.810101] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #25)
[01:11:41.848791] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:11:41.892275] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #188)
[01:11:41.921371] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #192)
[01:11:41.947388] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #216)
[01:11:41.973553] 'ObjectID' constructor (Location: 'IDs/ObjectID.cs', Line: #16)
[01:11:41.992590] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[01:11:42.010867] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:11:42.027850] 'BaseIdentity' primary constructor (Location: 'Bases/BaseIdentity.cs', Line: #30)
[01:11:42.046088] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:11:42.062391] 'ObjectIdentity' primary constructor (Location: 'Identities/ObjectIdentity.cs', Line: #15)
[01:11:42.079897] 'ObjectIdentity' constructor (Location: 'Identities/ObjectIdentity.cs', Line: #18)
