[11:40:12.980347] -=-=-=-=-=-=-=-=-= APPLICATION_NAME HAS STARTED =-=-=-=-=-=-=-=-=- (Location: 'ZData01/Program.cs', Line: #10)
[11:40:16.457887] 'Header' empty constructor (Location: 'Components/Header.razor.cs', Line: #26)
[11:40:16.481328] 'SetParametersAsync' override function (Location: 'Components/Header.razor.cs', Line: #263)
[11:40:16.501479] 'OnInitialized' override function (Location: 'Components/Header.razor.cs', Line: #40)
[11:40:16.519055] 'OnInitializedAsync' override function (Location: 'Components/Header.razor.cs', Line: #55)
[11:40:16.537617] 'OnParametersSet' override function (Location: 'Components/Header.razor.cs', Line: #78)
[11:40:16.557076] 'OnParametersSetAsync' override function (Location: 'Components/Header.razor.cs', Line: #179)
[11:40:16.572523] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #23)
[11:40:16.602151] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:40:16.616410] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[11:40:16.633046] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:40:16.649188] 'BaseName' primary constructor (Location: 'Bases/BaseName.cs', Line: #25)
[11:40:16.670381] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:40:16.690482] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[11:40:16.711553] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:40:16.729525] 'BaseType' primary constructor (Location: 'Bases/BaseType.cs', Line: #21)
[11:40:16.751310] 'BaseType' constructor (Location: 'Bases/BaseType.cs', Line: #167)
[11:40:16.776000] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:40:16.797517] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #29)
[11:40:16.818000] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[11:40:16.835303] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #27)
