[15:15:21.135610] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[15:15:21.181922] 'BaseData' primary constructor (Location: 'Bases/BaseData.cs', Line: #29)
[15:15:21.208829] 'ToBLOBsString' function (Location: 'Bases/BaseData.cs', Line: #337)
[15:15:21.241180] 'ToBLOBs' function (Location: 'Bases/BaseData.cs', Line: #170)
[15:17:15.740880] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[15:17:15.775741] 'BaseData' primary constructor (Location: 'Bases/BaseData.cs', Line: #29)
[15:17:15.810390] 'ToBLOBsString' function (Location: 'Bases/BaseData.cs', Line: #337)
[15:17:16.031615] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:17:19.632991] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:17:22.095784] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:17:22.553484] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:17:22.849361] 'ToBLOBs' function (Location: 'Bases/BaseData.cs', Line: #170)
[15:17:23.048176] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:17:23.579828] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:17:24.116296] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:17:24.532872] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:17:25.571800] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:17:26.181183] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:17:26.759963] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:17:27.260800] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:17:27.813753] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:17:28.860315] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:17:29.540093] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:17:30.104713] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:17:30.639041] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:17:31.088131] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:17:31.592252] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:17:32.046686] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:17:32.569520] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
[15:17:33.044586] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #35)
