[13:58:58.791578] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #13)
[13:58:58.840260] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[13:58:58.862988] 'BaseData' primary constructor (Location: 'Bases/BaseData.cs', Line: #29)
[13:58:58.876862] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[13:58:58.897074] 'BaseName' primary constructor (Location: 'Bases/BaseName.cs', Line: #28)
[13:58:58.910917] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[13:58:58.928505] 'ObjectName' primary constructor (Location: 'Names/ObjectName.cs', Line: #21)
[13:58:58.945503] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[13:58:58.961578] 'BaseData' primary constructor (Location: 'Bases/BaseData.cs', Line: #29)
[13:58:58.978439] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[13:58:59.000737] 'BaseType' primary constructor (Location: 'Bases/BaseType.cs', Line: #32)
[13:58:59.023306] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[13:58:59.054077] 'BaseType' primary constructor (Location: 'Bases/BaseType.cs', Line: #168)
[13:58:59.079107] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[13:58:59.100030] 'ObjectType' primary constructor (Location: 'Types/ObjectType.cs', Line: #18)
[13:58:59.147273] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[13:58:59.163549] 'BaseData' primary constructor (Location: 'Bases/BaseData.cs', Line: #29)
[13:58:59.183749] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[13:58:59.202681] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #29)
[13:58:59.222716] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #79)
[13:58:59.243980] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[13:58:59.263306] 'BaseData' primary constructor (Location: 'Bases/BaseData.cs', Line: #29)
[13:58:59.286164] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[13:58:59.305454] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #29)
[13:58:59.326717] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #39)
[13:58:59.355504] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[13:58:59.374514] 'BaseData' primary constructor (Location: 'Bases/BaseData.cs', Line: #29)
[13:58:59.395133] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[13:58:59.414092] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #29)
[13:58:59.436352] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #79)
[13:58:59.458050] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[13:58:59.476032] 'BaseData' primary constructor (Location: 'Bases/BaseData.cs', Line: #29)
[13:58:59.496536] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[13:58:59.511749] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #29)
[13:58:59.528140] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #39)
[13:58:59.545692] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[13:58:59.564036] 'BaseData' primary constructor (Location: 'Bases/BaseData.cs', Line: #29)
[13:58:59.584834] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[13:58:59.603942] 'BaseIdentity' primary constructor (Location: 'Bases/BaseIdentity.cs', Line: #43)
[13:58:59.625013] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
